 * Serving Flask app 'app' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [28/Sep/2020 19:51:06] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 19:54:41] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 19:54:41] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 19:54:41] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 19:55:28] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 19:55:28] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 19:55:29] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 19:58:51] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 19:58:51] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 19:58:52] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 19:59:54] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 19:59:54] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 19:59:55] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:01:37] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:01:37] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 20:01:38] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:03:54] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:03:54] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 20:03:54] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:05:42] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:05:42] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 20:05:43] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:08:04] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:08:04] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 20:08:05] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:09:39] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:09:39] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 20:09:39] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:10:01] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:10:01] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 20:10:01] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:16:28] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 20:16:28] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:16:29] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:34:47] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:34:47] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 20:34:48] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:36:17] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:36:17] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 20:36:18] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:37:47] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:37:47] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 20:37:48] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:38:26] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:38:26] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 20:38:26] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:41:54] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:41:54] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 20:41:55] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:42:43] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:42:43] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 20:42:44] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:43:08] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:43:08] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 20:43:09] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:43:33] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:43:33] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 20:43:35] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:45:47] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:45:47] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 20:45:47] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:46:13] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:46:13] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 20:46:14] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:47:03] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:47:03] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 20:47:04] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:47:18] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:47:18] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 20:47:19] "POST /api/authenticate HTTP/1.1" 200 -
